
  DETECT | R: 5.004 m | V: 0.013 m/s | Beam: -45.00 deg | AoA: -45.00 deg | X:-3.538 | Y: 3.538 | P:1.515e+11
  DETECT | R: 3.466 m | V:-0.030 m/s | Beam: -30.00 deg | AoA: -30.00 deg | X:-1.733 | Y: 3.001 | P:4.088e+10
  DETECT | R: 0.770 m | V:-10.099 m/s | Beam: -15.00 deg | AoA: -15.00 deg | X:-0.199 | Y: 0.744 | P:6.240e+12
  DETECT | R: 4.845 m | V:-0.019 m/s | Beam: -15.00 deg | AoA: -15.00 deg | X:-1.254 | Y: 4.680 | P:4.803e+10
  DETECT | R: 4.949 m | V: 0.171 m/s | Beam: -15.00 deg | AoA: -15.00 deg | X:-1.281 | Y: 4.780 | P:6.666e+10
  DETECT | R: 4.099 m | V: 0.015 m/s | Beam:   5.00 deg | AoA:   5.00 deg | X: 0.357 | Y: 4.083 | P:4.590e+10
  DETECT | R: 0.759 m | V:-10.279 m/s | Beam:  10.00 deg | AoA:  10.00 deg | X: 0.132 | Y: 0.748 | P:1.860e+13
  DETECT | R: 5.004 m | V: 0.030 m/s | Beam:  15.00 deg | AoA:  15.00 deg | X: 1.295 | Y: 4.834 | P:1.540e+11
  DETECT | R: 3.466 m | V:-0.030 m/s | Beam:  30.00 deg | AoA:  30.00 deg | X: 1.733 | Y: 3.001 | P:4.088e+10
  DETECT | R: 0.770 m | V:-10.165 m/s | Beam:  45.00 deg | AoA:  45.00 deg | X: 0.544 | Y: 0.544 | P:6.629e+12
  DETECT | R: 4.845 m | V:-0.032 m/s | Beam:  50.00 deg | AoA:  50.00 deg | X: 3.712 | Y: 3.114 | P:4.785e+10

FRAME 7 | Timestamp: 1774891063.7055 | Latency: 1388.25 ms | NumBeams: 25 | KeptAfter3DNMS: 21
  DETECT | R: 4.105 m | V:-0.045 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-3.555 | Y: 2.053 | P:6.167e+10
  DETECT | R: 4.849 m | V: 0.016 m/s | Beam: -45.00 deg | AoA: -45.00 deg | X:-3.429 | Y: 3.429 | P:5.894e+10
  DETECT | R: 4.949 m | V:-0.017 m/s | Beam: -45.00 deg | AoA: -45.00 deg | X:-3.500 | Y: 3.500 | P:9.115e+10
  DETECT | R: 5.004 m | V: 0.121 m/s | Beam: -45.00 deg | AoA: -45.00 deg | X:-3.538 | Y: 3.538 | P:1.223e+11
  DETECT | R: 3.468 m | V:-0.045 m/s | Beam: -30.00 deg | AoA: -30.00 deg | X:-1.734 | Y: 3.003 | P:8.101e+10
  DETECT | R: 1.775 m | V: 4.609 m/s | Beam: -25.00 deg | AoA: -25.00 deg | X:-0.750 | Y: 1.608 | P:2.571e+09
  DETECT | R: 6.858 m | V: 6.646 m/s | Beam: -25.00 deg | AoA: -25.00 deg | X:-2.898 | Y: 6.216 | P:1.943e+09
  DETECT | R: 8.031 m | V: 6.173 m/s | Beam: -25.00 deg | AoA: -25.00 deg | X:-3.394 | Y: 7.279 | P:1.818e+09
  DETECT | R: 8.818 m | V: 5.080 m/s | Beam: -25.00 deg | AoA: -25.00 deg | X:-3.727 | Y: 7.992 | P:2.331e+09
  DETECT | R: 4.842 m | V: 0.062 m/s | Beam: -15.00 deg | AoA: -15.00 deg | X:-1.253 | Y: 4.677 | P:5.015e+10
  DETECT | R: 4.943 m | V: 0.033 m/s | Beam: -15.00 deg | AoA: -15.00 deg | X:-1.279 | Y: 4.774 | P:6.257e+10
  DETECT | R: 4.127 m | V:-0.011 m/s | Beam: -10.00 deg | AoA: -10.00 deg | X:-0.717 | Y: 4.064 | P:3.030e+10
  DETECT | R: 0.844 m | V:-7.151 m/s | Beam:   0.00 deg | AoA:   0.00 deg | X: 0.000 | Y: 0.844 | P:1.111e+11
  DETECT | R: 4.102 m | V:-0.035 m/s | Beam:   5.00 deg | AoA:   5.00 deg | X: 0.358 | Y: 4.087 | P:6.078e+10
  DETECT | R: 4.849 m | V: 0.042 m/s | Beam:  15.00 deg | AoA:  15.00 deg | X: 1.255 | Y: 4.684 | P:6.056e+10
  DETECT | R: 5.004 m | V: 0.148 m/s | Beam:  15.00 deg | AoA:  15.00 deg | X: 1.295 | Y: 4.833 | P:1.209e+11
  DETECT | R: 3.468 m | V:-0.045 m/s | Beam:  30.00 deg | AoA:  30.00 deg | X: 1.734 | Y: 3.003 | P:8.101e+10
  DETECT | R: 6.858 m | V: 6.652 m/s | Beam:  35.00 deg | AoA:  35.00 deg | X: 3.934 | Y: 5.618 | P:1.945e+09
  DETECT | R: 8.031 m | V: 6.177 m/s | Beam:  35.00 deg | AoA:  35.00 deg | X: 4.607 | Y: 6.579 | P:1.820e+09
  DETECT | R: 8.818 m | V: 5.085 m/s | Beam:  35.00 deg | AoA:  35.00 deg | X: 5.058 | Y: 7.223 | P:2.322e+09
  DETECT | R: 4.127 m | V:-0.008 m/s | Beam:  55.00 deg | AoA:  55.00 deg | X: 3.381 | Y: 2.367 | P:3.032e+10

FRAME 8 | Timestamp: 1774891065.3301 | Latency: 1419.77 ms | NumBeams: 25 | KeptAfter3DNMS: 15
  DETECT | R: 0.865 m | V:-3.638 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-0.749 | Y: 0.432 | P:3.760e+10
  DETECT | R: 3.948 m | V: 0.781 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-3.419 | Y: 1.974 | P:1.187e+11
  DETECT | R: 0.853 m | V:-3.833 m/s | Beam: -40.00 deg | AoA: -40.00 deg | X:-0.548 | Y: 0.653 | P:5.696e+10
  DETECT | R: 2.390 m | V: 7.802 m/s | Beam: -35.00 deg | AoA: -35.00 deg | X:-1.371 | Y: 1.957 | P:8.442e+09
  DETECT | R: 3.467 m | V: 0.035 m/s | Beam: -25.00 deg | AoA: -25.00 deg | X:-1.465 | Y: 3.143 | P:8.372e+10
  DETECT | R: 4.838 m | V:-0.017 m/s | Beam: -15.00 deg | AoA: -15.00 deg | X:-1.252 | Y: 4.673 | P:4.992e+10
  DETECT | R: 2.381 m | V: 7.731 m/s | Beam:  -5.00 deg | AoA:  -5.00 deg | X:-0.208 | Y: 2.372 | P:6.078e+10
  DETECT | R: 0.869 m | V:-3.686 m/s | Beam:   0.00 deg | AoA:   0.00 deg | X: 0.000 | Y: 0.869 | P:6.232e+10
  DETECT | R: 3.949 m | V: 0.850 m/s | Beam:   0.00 deg | AoA:   0.00 deg | X: 0.000 | Y: 3.949 | P:1.782e+11
