RADAR STREAM LOG WITH LATENCY TRACKING
================================================================================

FRAME 0 | Timestamp: 1773105864.5191 | Latency: 31.66ms
  > R:-0.019m | V: 0.296m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.322m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.382m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.411m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.449m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.486m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.535m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.592m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.662m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.691m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.740m/s | A: 61.04deg | X:-0.016 | Y:-0.009
  > R:-0.019m | V: 0.767m/s | A: 61.04deg | X:-0.016 | Y:-0.009
  > R:-0.019m | V: 0.811m/s | A: 36.50deg | X:-0.011 | Y:-0.015
  > R:-0.019m | V: 0.852m/s | A: 63.07deg | X:-0.017 | Y:-0.008
  > R:-0.019m | V: 0.926m/s | A:-62.25deg | X: 0.017 | Y:-0.009
  > R:-0.019m | V: 0.953m/s | A:-62.59deg | X: 0.017 | Y:-0.009
  > R:-0.019m | V: 0.997m/s | A:-65.53deg | X: 0.017 | Y:-0.008
  > R:-0.019m | V: 1.018m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 1.084m/s | A:-90.00deg | X: 0.019 | Y:-0.000
